"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518865","2017-03-31 23:13:24","2017-03-31 23:29:20","4979","956","376","Artesian Ave & Hubbard St","21","Aberdeen St & Jackson Blvd","Subscriber","Male","1985"
"13518864","2017-03-31 23:13:18","2017-03-31 23:19:17","2768","359","374","Western Ave & Walton St","130","Damen Ave & Division St","Subscriber","Male","1987"
"13518863","2017-03-31 23:13:00","2017-03-31 23:21:41","4569","521","45","Michigan Ave & Congress Pkwy","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1985"
"13518862","2017-03-31 23:12:40","2017-03-31 23:16:37","194","237","118","Sedgwick St & North Ave","28","Larrabee St & Menomonee St","Subscriber","Female","1988"
"13518861","2017-03-31 23:12:32","2017-03-31 23:16:12","2610","220","118","Sedgwick St & North Ave","28","Larrabee St & Menomonee St","Subscriber","Male","1989"
"13518860","2017-03-31 23:11:46","2017-03-31 23:24:37","1562","771","327","Sheffield Ave & Webster Ave","309","Leavitt St & Armitage Ave","Subscriber","Female","1987"
"13518859","2017-03-31 23:11:19","2017-03-31 23:13:29","5111","130","43","Michigan Ave & Washington St","81","Daley Center Plaza","Subscriber","Male","1987"
"13518858","2017-03-31 23:07:08","2017-03-31 23:16:34","27","566","117","Wilton Ave & Belmont Ave","288","Larrabee St & Armitage Ave","Subscriber","Male","1991"
"13518857","2017-03-31 23:06:54","2017-03-31 23:13:27","1852","393","123","California Ave & Milwaukee Ave","511","Albany Ave & Bloomingdale Ave","Subscriber","Male","1987"
"13518856","2017-03-31 23:02:01","2017-03-31 23:05:37","4837","216","449","Clark St & Columbia Ave","451","Sheridan Rd & Loyola Ave","Subscriber","Male","1977"
"13518855","2017-03-31 22:59:11","2017-03-31 23:07:12","2993","481","199","Wabash Ave & Grand Ave","96","Desplaines St & Randolph St","Subscriber","Male","1987"
"13518854","2017-03-31 22:57:21","2017-03-31 23:06:40","3022","559","303","Broadway & Cornelia Ave","303","Broadway & Cornelia Ave","Subscriber","Female","1981"
"13518853","2017-03-31 22:57:12","2017-03-31 23:08:29","3921","677","21","Aberdeen St & Jackson Blvd","202","Halsted St & 18th St","Subscriber","Male","1995"
"13518852","2017-03-31 22:57:10","2017-03-31 23:07:23","3743","613","66","Clinton St & Lake St","145","Mies van der Rohe Way & Chestnut St","Subscriber","Male","1989"
"13518851","2017-03-31 22:56:24","2017-03-31 23:02:21","4345","357","504","Campbell Ave & Fullerton Ave","310","Damen Ave & Charleston St","Subscriber","Male","1966"
"13518850","2017-03-31 22:55:54","2017-03-31 23:00:16","739","262","479","Drake Ave & Montrose Ave","474","Christiana Ave & Lawrence Ave","Subscriber","Male","1993"
"13518849","2017-03-31 22:54:57","2017-03-31 23:07:59","1407","782","126","Clark St & North Ave","67","Sheffield Ave & Fullerton Ave","Subscriber","Male","1995"
"13518848","2017-03-31 22:53:31","2017-03-31 23:15:14","242","1303","81","Daley Center Plaza","172","Rush St & Cedar St","Customer","",""
"13518847","2017-03-31 22:53:24","2017-03-31 23:03:21","4517","597","463","Clark St & Berwyn Ave","311","Leavitt St & Lawrence Ave","Subscriber","Male","1989"
"13518846","2017-03-31 22:52:39","2017-03-31 23:07:13","4874","874","219","Damen Ave & Cortland St","229","Southport Ave & Roscoe St","Subscriber","Male","1989"
"13518845","2017-03-31 22:52:18","2017-03-31 23:15:14","182","1376","81","Daley Center Plaza","172","Rush St & Cedar St","Customer","",""
"13518844","2017-03-31 22:52:09","2017-03-31 22:55:57","2101","228","240","Sheridan Rd & Irving Park Rd","312","Clarendon Ave & Gordon Ter","Subscriber","Male","1988"
"13518843","2017-03-31 22:52:02","2017-03-31 23:07:14","5453","912","2","Buckingham Fountain","39","Wabash Ave & Adams St","Customer","",""
"13518842","2017-03-31 22:51:53","2017-03-31 22:56:15","4740","262","240","Sheridan Rd & Irving Park Rd","312","Clarendon Ave & Gordon Ter","Subscriber","Female","1989"
"13518841","2017-03-31 22:51:56","2017-03-31 23:07:14","1752","918","2","Buckingham Fountain","39","Wabash Ave & Adams St","Customer","",""
"13518840","2017-03-31 22:51:49","2017-03-31 23:07:18","5003","929","2","Buckingham Fountain","39","Wabash Ave & Adams St","Customer","",""
"13518839","2017-03-31 22:51:39","2017-03-31 23:07:35","1848","956","2","Buckingham Fountain","39","Wabash Ave & Adams St","Customer","",""
"13518838","2017-03-31 22:51:28","2017-03-31 23:11:17","5731","1189","210","Ashland Ave & Division St","144","Larrabee St & Webster Ave","Subscriber","Male","1983"
"13518837","2017-03-31 22:51:23","2017-03-31 22:54:24","2090","181","142","McClurg Ct & Erie St","145","Mies van der Rohe Way & Chestnut St","Subscriber","Male","1988"
"13518836","2017-03-31 22:50:41","2017-03-31 23:15:35","461","1494","81","Daley Center Plaza","172","Rush St & Cedar St","Customer","",""
"13518835","2017-03-31 22:49:30","2017-03-31 22:56:29","2679","419","300","Broadway & Barry Ave","340","Clark St & Wrightwood Ave","Subscriber","Female","1990"
"13518834","2017-03-31 22:48:23","2017-03-31 23:04:51","2211","988","195","Columbus Dr & Randolph St","181","LaSalle St & Illinois St","Customer","",""
